Facility Code,Facility Name,Division,Type,Owner,Location,Constituency,Beds,Cots,Job Title of in Charge,Open 24 Hours,Open Weekends,Operational Status,ART,C-IMCI,FP,HBC,IPD,Mapped_Constituency,Constituencies,Total Population,Male Population,Female Population
19310,st jude's huruma community health services,huruma,medical clinic,private practice - unspecified,huruma,mathare,0,0,clinical officer,n,y,operational,n,n,n,n,n,mathare,MATHARE,"206,564","106,522","100,028"
13043,7kr mrs health centre,lang'ata,health centre,armed forces,mugumoini,lang'ata,14,0,nursing officer in charge,y,y,operational,n,y,y,y,y,langata,LANGATA,"197,489","96,698","100,774"
20346,aar adams health centre,woodley,medical clinic,private practice - general practitioner,woodley,kibra,0,0,medical superintendant,n,y,operational,n,n,n,n,n,kibra,KIBRA,"185,777","94,199","91,569"
12861,aar city centre clinic,starehe,medical clinic,private enterprise (institution),central business district,starehe,0,0,doctor in charge,n,y,operational,n,n,y,n,y,starehe,STAREHE,"210,423","109,173","101,238"
16796,aar clinic sarit centre (westlands),parklands,medical clinic,private enterprise (institution),parklands,westlands,0,0,nursing officer in charge,n,n,operational,n,n,n,n,n,westlands,WESTLANDS,"308,854","153,818","155,021"
20405,aar health care,embakasi,health centre,private practice - medical specialist,embakasi,embakasi east,6,2,hospital director,n,y,operational,n,n,n,n,n,embakasi,EMBAKASI,"988,808","492,476","496,270"
18859,aar healthcare limited (karen),lang'ata,medical clinic,private enterprise (institution),lang'ata,lang'ata,0,0,nursing officer in charge,n,y,operational,n,n,n,n,n,langata,LANGATA,"197,489","96,698","100,774"
12862,aar kariobangi clinic,kasarani,medical clinic,private enterprise (institution),kasarani,ruaraka,0,0,,n,n,not-operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
20140,aar mountain mall,roysambu,medical clinic,private practice - nurse / midwife,roysambu,roysambu,0,0,nursing officer in charge,n,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
21224,aar outpatient center donholm,embakasi east,medical clinic,private practice - general practitioner,upper savanna,embakasi east,4,2,nursing officer in charge,n,y,operational,n,n,n,n,n,embakasi,EMBAKASI,"988,808","492,476","496,270"
12865,afwan medical centre,pumwani,nursing home,private enterprise (institution),pumwani,kamukunji,40,4,hospital director,y,y,operational,n,n,y,n,y,kamukunji,KAMUKUNJI,"268,276","136,670","131,599"
19515,afya bora health care,kangemi,medical clinic,non-governmental organizations,kangemi,westlands,12,1,,y,y,operational,n,n,n,n,n,westlands,WESTLANDS,"308,854","153,818","155,021"
19551,afya bora medical clinic (westlands),kangemi,medical clinic,private enterprise (institution),kangemi,westlands,1,0,,n,n,operational,n,n,n,n,n,westlands,WESTLANDS,"308,854","153,818","155,021"
18486,afya health care,kasarani,dispensary,private enterprise (institution),githurai,roysambu,0,0,nursing officer in charge,n,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
19356,alphine dental centre (kencom hse),central,dental clinic,private practice - unspecified,central,starehe,0,0,,n,y,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
19462,avenue health care (makadara),viwandani,medical clinic,private practice - general practitioner,viwandani,makadara,0,0,nursing officer in charge,n,n,operational,n,n,n,n,n,makadara,MAKADARA,"189,536","96,369","93,157"
12874,avenue hospital,parklands,other hospital,private enterprise (institution),parklands,westlands,65,10,hospital director,y,y,operational,n,y,y,y,y,westlands,WESTLANDS,"308,854","153,818","155,021"
12881,baraka dispensary (nairobi),kasarani,dispensary,private enterprise (institution),ruaraka,ruaraka,0,0,nursing officer in charge,n,n,operational,y,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
19529,baraka medical cenre,kangemi,medical clinic,private practice - medical specialist,kangemi,westlands,0,0,,n,y,operational,n,n,n,n,n,westlands,WESTLANDS,"308,854","153,818","155,021"
17934,baraka medical centre,kasarani,dispensary,kenya episcopal conference-catholic secretariat,ruaraka,ruaraka,0,0,,n,n,not-operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
18622,skyhill medical centre,kawangware,health centre,private practice - medical specialist,kawangware,dagoretti north,10,2,clinical officer,y,y,operational,n,n,n,n,n,dagoretti,DAGORETTI,"434,208","217,651","216,526"
19639,skylit medical clinic,eastleigh north,medical clinic,private enterprise (institution),eastleigh north,kamukunji,3,1,,n,y,operational,n,n,n,n,n,kamukunji,KAMUKUNJI,"268,276","136,670","131,599"
18000,skymed medical clinic githunguri,ruai,medical clinic,private practice - general practitioner,githunguri,kasarani,0,0,nursing officer in charge,n,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
19994,slum medical clinic,kibra,medical clinic,private practice - nurse / midwife,kibra,kibra,0,0,nursing officer in charge,n,y,operational,n,n,n,n,n,kibra,KIBRA,"185,777","94,199","91,569"
19393,social service league (nairobi ),central,dispensary,private enterprise (institution),central,starehe,0,0,,n,y,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
19331,soin health care - mfangano street),central,medical clinic,private practice - general practitioner,central,starehe,0,0,,n,y,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
13188,sokoni arcade vct,dagoretti,vct centre (stand-alone),non-governmental organizations,kawangware,dagoretti north,0,0,,n,n,operational,n,n,n,y,n,dagoretti,DAGORETTI,"434,208","217,651","216,526"
13189,sos dispensary,bahati,dispensary,non-governmental organizations,bahati,embakasi west,0,0,,n,n,operational,n,y,y,n,y,embakasi,EMBAKASI,"988,808","492,476","496,270"
13212,st jude's health centre,dagoretti,health centre,private enterprise (institution),kawangware,dagoretti north,7,0,nursing officer in charge,y,y,operational,y,y,y,y,y,dagoretti,DAGORETTI,"434,208","217,651","216,526"
13211,st jude's medical centre,embakasi,medical clinic,private enterprise (institution),kayole,embakasi central,0,0,clinical officer,y,y,operational,n,n,y,y,y,embakasi,EMBAKASI,"988,808","492,476","496,270"
19280,st louis community hospital,kasarani,medical clinic,private practice - general practitioner,githurai,roysambu,0,0,clinical officer,n,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
19422,starehe boys centre school clinic,kariokor,medical clinic,academic (if registered),kariokor,starehe,0,0,nursing officer in charge,y,y,operational,n,n,n,n,n,starehe,STAREHE,"210,423","109,173","101,238"
19276,stars general medical clinic,roysambu,medical clinic,private practice - general practitioner,githurai,roysambu,0,0,clinical officer,n,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
13231,state house clinic,kilimani,dispensary,local authority,kilimani,dagoretti north,0,0,nursing officer in charge,n,n,operational,n,n,y,n,y,dagoretti,DAGORETTI,"434,208","217,651","216,526"
13232,state house dispensary (nairobi),kilimani,dispensary,ministry of health,kilimani,dagoretti north,0,0,clinical officer,n,n,operational,n,n,n,n,n,dagoretti,DAGORETTI,"434,208","217,651","216,526"
18574,strathmore university medical centre,lang'ata,medical clinic,private enterprise (institution),nairobi west,lang'ata,0,0,nursing officer in charge,n,n,operational,n,n,n,n,n,langata,LANGATA,"197,489","96,698","100,774"
19376,the arcade medical centre,ruaraka,medical clinic,private practice - general practitioner,ruaraka,ruaraka,0,0,clinical officer,n,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
18304,the co-operative university college of kenya dispe,lang'ata,dispensary,parastatal,lang'ata,lang'ata,0,0,clinical officer,n,n,operational,n,n,n,n,n,langata,LANGATA,"197,489","96,698","100,774"
13004,the karen hospital,lang'ata,other hospital,private enterprise (institution),karen,lang'ata,102,0,,y,y,operational,n,y,y,y,y,langata,LANGATA,"197,489","96,698","100,774"
19434,the mater embakasi clinic,mukuru,medical clinic,kenya episcopal conference-catholic secretariat,pipeline,embakasi south,4,2,nursing officer in charge,n,y,operational,n,n,n,n,n,embakasi,EMBAKASI,"988,808","492,476","496,270"
17657,the mater hospital buruburu,makadara,dispensary,kenya episcopal conference-catholic secretariat,makadara,makadara,0,0,nursing officer in charge,n,y,operational,n,n,n,n,n,makadara,MAKADARA,"189,536","96,369","93,157"
13074,the mater hospital mukuru,south b,other hospital,kenya episcopal conference-catholic secretariat,mukuru nyayo,starehe,166,42,hospital director,y,y,operational,y,y,n,y,y,starehe,STAREHE,"210,423","109,173","101,238"
19101,the nairobi hospital out-patient centre galeria,lang'ata,medical clinic,private enterprise (institution),lang'ata,lang'ata,0,0,,n,y,operational,n,n,n,n,n,langata,LANGATA,"197,489","96,698","100,774"
19396,tumaini mwangaza ( korogocho),ruaraka,medical clinic,private practice - general practitioner,korogocho,ruaraka,12,2,nursing officer in charge,y,y,operational,n,n,n,n,n,kasarani,KASARANI,"780,656","381,234","399,385"
